;// 무기  , 아이템,ID의, 수정 ,,, 추가, 삭제, 발생시, 클라이언트,팀에,알려,주세요,적용안,할경우,,크래쉬,To ,클라이언트팀,CSWeaponID ,,,, 정의 코드의, 주석 참고 해, 작업해 주세요.
2042,#CSO2_ITEM_NAME_10000mileage,#CSO2_ITEM_DESC_10000mileage,10000mileage,default,mileageitem,item,item,-1,0,0,0,2,1,0,0,0,0,10000,none,0,0,,,,0
2043,#CSO2_ITEM_NAME_100000mileage,#CSO2_ITEM_DESC_100000mileage,100000mileage,default,mileageitem,item,item,-1,0,0,0,2,1,0,0,0,0,100000,none,0,0,,,,0
2044,#CSO2_ITEM_NAME_1000000mileage,#CSO2_ITEM_DESC_1000000mileage,1000000mileage,default,mileageitem,item,item,-1,0,0,0,2,1,0,0,0,0,1000000,none,0,0,,,,0
3001,#CSO2_ITEM_NAME_VIPCARD,#CSO2_ITEM_DESC_VIPCARD,vipitem,default,vip,item,item,-1,0,0,1,3,0,0,0,0,0,none,none,0,0,,,,0
3002,#CSO2_ITEM_NAME_VIPEXPCOUPON,#CSO2_ITEM_DESC_VIPEXPCOUPON,vipexpcoupon,default,vipexp,item,item,-1,0,0,0,2,1,0,0,0,0,500,none,0,0,,,,0
5042,#CSO2_ITEM_NAME_p228_spray1,#CSO2_ITEM_DESC_P228_spray1,p228,spray1,item,weapon,pistol,1,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5043,#CSO2_ITEM_NAME_GLOCK18_spray1,#CSO2_ITEM_DESC_GLOCK18_spray1,glock18,spray1,item,weapon,pistol,1,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5044,#CSO2_ITEM_NAME_scout_spray1,#CSO2_ITEM_DESC_SCOUT_spray1,scout,spray1,item,weapon,snip,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5045,#CSO2_ITEM_NAME_xm1014_spray1,#CSO2_ITEM_DESC_XM1014_spray1,xm1014,spray1,item,weapon,shotgun,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5046,#CSO2_ITEM_NAME_mac10_spray1,#CSO2_ITEM_DESC_MAC10_spray1,mac10,spray1,item,weapon,smg,0,2,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5047,#CSO2_ITEM_NAME_aug_spray1,#CSO2_ITEM_DESC_AUG_spray1,aug,spray1,item,weapon,rifle,0,3,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5048,#CSO2_ITEM_NAME_elites_spray1,#CSO2_ITEM_DESC_DUALELITE_spray1,elites,spray1,item,weapon,pistol,1,2,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5049,#CSO2_ITEM_NAME_fiveseven_spray1,#CSO2_ITEM_DESC_FIVESEVEN_spray1,fiveseven,spray1,item,weapon,pistol,1,3,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5050,#CSO2_ITEM_NAME_UMP45_spray1,#CSO2_ITEM_DESC_UMP45_spray1,ump45,spray1,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5051,#CSO2_ITEM_NAME_sg550_spray1,#CSO2_ITEM_DESC_SG550_spray1,sg550,spray1,item,weapon,snip,0,3,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5052,#CSO2_ITEM_NAME_galil_spray1,#CSO2_ITEM_DESC_GALIL_spray1,galil,spray1,item,weapon,rifle,0,2,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5053,#CSO2_ITEM_NAME_famas_spray1,#CSO2_ITEM_DESC_FAMAS_spray1,famas,spray1,item,weapon,rifle,0,3,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5054,#CSO2_ITEM_NAME_usp_spray1,#CSO2_ITEM_DESC_USP_spray1,usp45,spray1,item,weapon,pistol,1,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5055,#CSO2_ITEM_NAME_awp_spray1,#CSO2_ITEM_DESC_AWP_spray1,awp,spray1,item,weapon,snip,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5056,#CSO2_ITEM_NAME_mp5_spray1,#CSO2_ITEM_DESC_MP5_spray1,mp5,spray1,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5057,#CSO2_ITEM_NAME_m249_spray1,#CSO2_ITEM_DESC_m249_spray1,m249,spray1,item,weapon,mach,0,0,1|2|3|5|6|8|14|15|17|20|22|24|25|26|27|29|36|37|38|42|44|45|46|48|49|51|53|55|57|58|59|61|63|65,0,0,3,5,0,0,0,none,none,0,0,,,,0
5058,#CSO2_ITEM_NAME_m3_spray1,#CSO2_ITEM_DESC_M3_spray1,m3,spray1,item,weapon,shotgun,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5059,#CSO2_ITEM_NAME_m4a1_spray1,#CSO2_ITEM_DESC_M4A1_spray1,m4a1,spray1,item,weapon,rifle,0,3,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5060,#CSO2_ITEM_NAME_tmp_spray1,#CSO2_ITEM_DESC_TMP_spray1,tmp,spray1,item,weapon,smg,0,3,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5061,#CSO2_ITEM_NAME_g3sg1_spray1,#CSO2_ITEM_DESC_G3SG1_spray1,g3sg1,spray1,item,weapon,snip,0,2,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5062,#CSO2_ITEM_NAME_deserteagle_spray1,#CSO2_ITEM_DESC_DESERTEAGLE_spray1,deserteagle,spray1,item,weapon,pistol,1,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5063,#CSO2_ITEM_NAME_sg552_spray1,#CSO2_ITEM_DESC_SG552_spray1,sg552,spray1,item,weapon,rifle,0,2,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5064,#CSO2_ITEM_NAME_ak47_spray1,#CSO2_ITEM_DESC_AK47_spray1,ak47,spray1,item,weapon,rifle,0,2,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5065,#CSO2_ITEM_NAME_p90_spray1,#CSO2_ITEM_DESC_P90_spray1,p90,spray1,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5066,#CSO2_ITEM_NAME_FNC_spray1,#CSO2_ITEM_DESC_FNC_spray1,fnc,spray1,item,weapon,rifle,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5067,#CSO2_ITEM_NAME_MP7_spray1,#CSO2_ITEM_DESC_MP7_spray1,mp7,spray1,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5068,#CSO2_ITEM_NAME_F2000_spray1,#CSO2_ITEM_DESC_F2000_spray1,f2000,spray1,item,weapon,rifle,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5069,#CSO2_ITEM_NAME_striker12_spray1,#CSO2_ITEM_DESC_striker12_spray1,striker12,spray1,item,weapon,shotgun,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5070,#CSO2_ITEM_NAME_scarH_spray1,#CSO2_ITEM_DESC_scarH_spray1,scarh,spray1,item,weapon,rifle,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5071,#CSO2_ITEM_NAME_fal_spray1,#CSO2_ITEM_DESC_fal_spray1,fal,spray1,item,weapon,rifle,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5072,#CSO2_ITEM_NAME_m60_spray1,#CSO2_ITEM_DESC_m60_spray1,m60,spray1,item,weapon,mach,0,0,1|2|3|5|6|8|14|15|17|20|22|24|25|26|27|29|36|37|38|42|44|45|46|48|49|51|53|55|57|58|59|61|63|65,0,0,3,5,0,0,0,none,none,0,0,,,,0
5073,#CSO2_ITEM_NAME_mx4_spray1,#CSO2_ITEM_DESC_mx4_spray1,mx4,spray1,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5074,#CSO2_ITEM_NAME_ar57_spray1,#CSO2_ITEM_DESC_ar57_spray1,ar57,spray1,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5075,#CSO2_ITEM_NAME_kriss_superv_spray1,#CSO2_ITEM_DESC_kriss_superv_spray1,krisssuperv,spray1,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5076,#CSO2_ITEM_NAME_scarl_spray1,#CSO2_ITEM_DESC_scarl_spray1,scarl,spray1,item,weapon,rifle,0,3,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5077,#CSO2_ITEM_NAME_aek971_spray1,#CSO2_ITEM_DESC_aek971_spray1,aek971,spray1,item,weapon,rifle,0,2,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5078,#CSO2_ITEM_NAME_t65_spray1,#CSO2_ITEM_DESC_t65_spray1,t65,spray1,item,weapon,rifle,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5079,#CSO2_ITEM_NAME_t86_spray1,#CSO2_ITEM_DESC_t86_spray1,t86,spray1,item,weapon,rifle,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5080,#CSO2_ITEM_NAME_acr_spray1,#CSO2_ITEM_DESC_acr_spray1,acr,spray1,item,weapon,rifle,0,3,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5081,#CSO2_ITEM_NAME_ak12_spray1,#CSO2_ITEM_DESC_ak12_spray1,ak12,spray1,item,weapon,rifle,0,2,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
;// 5082,#CSO2_ITEM_NAME_k5_spray1,#CSO2_ITEM_DESC_k5_spray1,k5,spray1,item,weapon,pistol,1,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
;// 5083,#CSO2_ITEM_NAME_K1_spray1,#CSO2_ITEM_DESC_K1_spray1,k1,spray1,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5084,#CSO2_ITEM_NAME_deserteagle_camo1,#CSO2_ITEM_DESC_DESERTEAGLE_camo1,deserteagle,camo1,item,weapon,pistol,1,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5085,#CSO2_ITEM_NAME_elites_camo1,#CSO2_ITEM_DESC_DUALELITE_camo1,elites,camo1,item,weapon,pistol,1,2,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5086,#CSO2_ITEM_NAME_m3_camo1,#CSO2_ITEM_DESC_M3_camo1,m3,camo1,item,weapon,shotgun,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5087,#CSO2_ITEM_NAME_xm1014_camo1,#CSO2_ITEM_DESC_XM1014_camo1,xm1014,camo1,item,weapon,shotgun,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5088,#CSO2_ITEM_NAME_mp5_camo1,#CSO2_ITEM_DESC_MP5_camo1,mp5,camo1,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5089,#CSO2_ITEM_NAME_p90_camo1,#CSO2_ITEM_DESC_P90_camo1,p90,camo1,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5090,#CSO2_ITEM_NAME_galil_camo1,#CSO2_ITEM_DESC_GALIL_camo1,galil,camo1,item,weapon,rifle,0,2,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5091,#CSO2_ITEM_NAME_famas_camo1,#CSO2_ITEM_DESC_FAMAS_camo1,famas,camo1,item,weapon,rifle,0,3,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5092,#CSO2_ITEM_NAME_ak47_camo1,#CSO2_ITEM_DESC_AK47_camo1,ak47,camo1,item,weapon,rifle,0,2,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5093,#CSO2_ITEM_NAME_m4a1_camo1,#CSO2_ITEM_DESC_M4A1_camo1,m4a1,camo1,item,weapon,rifle,0,3,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5094,#CSO2_ITEM_NAME_awp_camo1,#CSO2_ITEM_DESC_AWP_camo1,awp,camo1,item,weapon,snip,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5095,#CSO2_ITEM_NAME_MP7_camo1,#CSO2_ITEM_DESC_MP7_camo1,mp7,camo1,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5096,#CSO2_ITEM_NAME_striker12_camo1,#CSO2_ITEM_DESC_striker12_camo1,striker12,camo1,item,weapon,shotgun,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5097,#CSO2_ITEM_NAME_fal_camo1,#CSO2_ITEM_DESC_fal_camo1,fal,camo1,item,weapon,rifle,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5098,#CSO2_ITEM_NAME_FNC_camo1,#CSO2_ITEM_DESC_FNC_camo1,fnc,camo1,item,weapon,rifle,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5099,#CSO2_ITEM_NAME_m60_camo1,#CSO2_ITEM_DESC_m60_camo1,m60,camo1,item,weapon,mach,0,0,1|2|3|5|6|8|14|15|17|20|22|24|25|26|27|29|36|37|38|42|44|45|46|48|49|51|53|55|57|58|59|61|63|65,0,0,3,5,0,0,0,none,none,0,0,,,,0
5100,#CSO2_ITEM_NAME_mx4_camo1,#CSO2_ITEM_DESC_mx4_camo1,mx4,camo1,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5101,#CSO2_ITEM_NAME_kriss_superv_camo1,#CSO2_ITEM_DESC_kriss_superv_camo1,krisssuperv,camo1,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5102,#CSO2_ITEM_NAME_t65_camo1,#CSO2_ITEM_DESC_t65_camo1,t65,camo1,item,weapon,rifle,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5103,#CSO2_ITEM_NAME_t86_camo1,#CSO2_ITEM_DESC_t86_camo1,t86,camo1,item,weapon,rifle,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5104,#CSO2_ITEM_NAME_M3_wolf1,#CSO2_ITEM_DESC_M3_wolf1,m3,wolf1,item,weapon,shotgun,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5105,#CSO2_ITEM_NAME_deserteagle_black1,#CSO2_ITEM_DESC_deserteagle_black1,deserteagle,black1,item,weapon,pistol,1,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5106,#CSO2_ITEM_NAME_aek971_camo1,#CSO2_ITEM_DESC_aek971_camo1,aek971,camo1,item,weapon,rifle,0,2,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5107,#CSO2_ITEM_NAME_scarl_camo1,#CSO2_ITEM_DESC_scarl_camo1,scarl,camo1,item,weapon,rifle,0,3,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5108,#CSO2_ITEM_NAME_krisssuperv_puma1,#CSO2_ITEM_DESC_krisssuperv_puma1,krisssuperv,puma1,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5109,#CSO2_ITEM_NAME_ar57_camo1,#CSO2_ITEM_DESC_ar57_camo1,ar57,camo1,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5110,#CSO2_ITEM_NAME_ar57_snake1,#CSO2_ITEM_DESC_ar57_snake1,ar57,snake1,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5115,#CSO2_ITEM_NAME_acr_camo1,#CSO2_ITEM_DESC_acr_camo1,acr,camo1,item,weapon,rifle,0,3,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5116,#CSO2_ITEM_NAME_ak12_camo1,#CSO2_ITEM_DESC_ak12_camo1,ak12,camo1,item,weapon,rifle,0,2,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5117,#CSO2_ITEM_NAME_deserteagle_gold1,#CSO2_ITEM_DESC_deserteagle_gold1,deserteagle,gold1,item,weapon,pistol,1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
5118,#CSO2_ITEM_NAME_awp_gold2,#CSO2_ITEM_DESC_AWP_gold2,awp,gold2,item,weapon,snip,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
5119,#CSO2_ITEM_NAME_ANACONDA_gold1,#CSO2_ITEM_DESC_ANACONDA_gold1,anaconda,gold1,item,weapon,pistol,1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
5120,#CSO2_ITEM_NAME_scarH_camo1,#CSO2_ITEM_DESC_scarH_camo1,scarh,camo1,item,weapon,rifle,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5121,#CSO2_ITEM_NAME_waltherpp_silver1,#CSO2_ITEM_DESC_waltherpp_silver1,waltherpp,silver1,item,weapon,pistol,1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
5122,#CSO2_ITEM_NAME_scout_camo1,#CSO2_ITEM_DESC_scout_camo1,scout,camo1,item,weapon,snip,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5123,#CSO2_ITEM_NAME_scout_goat1,#CSO2_ITEM_DESC_scout_goat1,scout,goat1,item,weapon,snip,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5124,#CSO2_ITEM_NAME_m249_camo1,#CSO2_ITEM_DESC_m249_camo1,m249,camo1,item,weapon,mach,0,0,1|2|3|5|6|8|14|15|17|20|22|24|25|26|27|29|36|37|38|42|44|45|46|48|49|51|53|55|57|58|59|61|63|65,0,0,3,5,0,0,0,none,none,0,0,,,,0
5125,#CSO2_ITEM_NAME_m249_bat1,#CSO2_ITEM_DESC_m249_bat1,m249,bat1,item,weapon,mach,0,0,1|2|3|5|6|8|14|15|17|20|22|24|25|26|27|29|36|37|38|42|44|45|46|48|49|51|53|55|57|58|59|61|63|65,0,0,3,5,0,0,0,none,none,0,0,,,,0
5126,#CSO2_ITEM_NAME_deserteagle_eagle1,#CSO2_ITEM_DESC_deserteagle_eagle1,deserteagle,eagle1,item,weapon,pistol,1,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5127,#CSO2_ITEM_NAME_aek971_eagle1,#CSO2_ITEM_DESC_aek971_eagle1,aek971,eagle1,item,weapon,rifle,0,2,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5128,#CSO2_ITEM_NAME_scarl_whale1,#CSO2_ITEM_DESC_scarl_whale1,scarl,whale1,item,weapon,rifle,0,3,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5129,#CSO2_ITEM_NAME_m60_komodo1,#CSO2_ITEM_DESC_m60_komodo1,m60,komodo1,item,weapon,mach,0,0,1|2|3|5|6|8|14|15|17|20|22|24|25|26|27|29|36|37|38|42|44|45|46|48|49|51|53|55|57|58|59|61|63|65,0,0,3,5,0,0,0,none,none,0,0,,,,0
5130,#CSO2_ITEM_NAME_m3_gold1,#CSO2_ITEM_DESC_m3_gold1,m3,gold1,item,weapon,shotgun,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5131,#CSO2_ITEM_NAME_ANACONDA_red1,#CSO2_ITEM_DESC_ANACONDA_red1,anaconda,red1,item,weapon,pistol,1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
5132,#CSO2_ITEM_NAME_mp5_gold1,#CSO2_ITEM_DESC_MP5_gold1,mp5,gold1,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5133,#CSO2_ITEM_NAME_scout_gold1,#CSO2_ITEM_DESC_scout_gold1,scout,gold1,item,weapon,snip,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5134,#CSO2_ITEM_NAME_sg550_camo1,#CSO2_ITEM_DESC_sg550_camo1,sg550,camo1,item,weapon,snip,0,3,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5135,#CSO2_ITEM_NAME_g3sg1_camo1,#CSO2_ITEM_DESC_g3sg1_camo1,g3sg1,camo1,item,weapon,snip,0,2,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5136,#CSO2_ITEM_NAME_famas_chicken1,#CSO2_ITEM_DESC_famas_chicken1,famas,chicken1,item,weapon,rifle,0,3,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5137,#CSO2_ITEM_NAME_galil_caracal1,#CSO2_ITEM_DESC_galil_caracal1,galil,caracal1,item,weapon,rifle,0,2,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5138,#CSO2_ITEM_NAME_sg550_schweizergarde1,#CSO2_ITEM_DESC_sg550_schweizergarde1,sg550,schweizergarde1,item,weapon,snip,0,3,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5139,#CSO2_ITEM_NAME_g3sg1_heer1,#CSO2_ITEM_DESC_g3sg1_heer1,g3sg1,heer1,item,weapon,snip,0,2,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5140,#CSO2_ITEM_NAME_m60_gold1,#CSO2_ITEM_DESC_m60_gold1,m60,gold1,item,weapon,mach,0,0,1|2|3|5|6|8|14|15|17|20|22|24|25|26|27|29|36|37|38|42|44|45|46|48|49|51|53|55|57|58|59|61|63|65,0,0,3,5,0,0,0,none,none,0,0,,,,0
5141,#CSO2_ITEM_NAME_famas_gold1,#CSO2_ITEM_DESC_famas_gold1,famas,gold1,item,weapon,rifle,0,3,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5142,#CSO2_ITEM_NAME_galil_gold1,#CSO2_ITEM_DESC_galil_gold1,galil,gold1,item,weapon,rifle,0,2,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5143,#CSO2_ITEM_NAME_ar57_chrome1,#CSO2_ITEM_DESC_ar57_chrome1,ar57,chrome1,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5144,#CSO2_ITEM_NAME_mp7_chrome1,#CSO2_ITEM_DESC_mp7_chrome1,mp7,chrome1,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5145,#CSO2_ITEM_NAME_krisssuperv_chrome1,#CSO2_ITEM_DESC_krisssuperv_chrome1,krisssuperv,chrome1,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5146,#CSO2_ITEM_NAME_striker12_chrome1,#CSO2_ITEM_DESC_striker12_chrome1,striker12,chrome1,item,weapon,shotgun,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5147,#CSO2_ITEM_NAME_usp_dolphin1,#CSO2_ITEM_DESC_usp_dolphin1,usp45,dolphin1,item,weapon,pistol,1,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5148,#CSO2_ITEM_NAME_usp_camo1,#CSO2_ITEM_DESC_usp_camo1,usp45,camo1,item,weapon,pistol,1,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5149,#CSO2_ITEM_NAME_mg3_amethyst1,#CSO2_ITEM_DESC_mg3_amethyst1,mg3,amethyst1,item,weapon,mach,0,0,1|2|3|5|6|8|14|15|17|20|22|24|25|26|27|29|36|37|38|42|44|45|46|48|49|51|53|55|57|58|59|61|63|65,0,0,3,5,0,0,0,none,none,0,0,,,STATUE(AMETHYST),0
5150,#CSO2_ITEM_NAME_dbarrel_amethyst1,#CSO2_ITEM_DESC_dbarrel_amethyst1,dbarrel,amethyst1,item,weapon,shotgun,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,STATUE(AMETHYST),0
5151,#CSO2_ITEM_NAME_ak12_amethyst1,#CSO2_ITEM_DESC_ak12_amethyst1,ak12,amethyst1,item,weapon,rifle,0,2,0,0,0,3,5,0,0,0,none,none,0,0,,,STATUE(AMETHYST),0
5152,#CSO2_ITEM_NAME_acr_amethyst1,#CSO2_ITEM_DESC_acr_amethyst1,acr,amethyst1,item,weapon,rifle,0,3,0,0,0,3,5,0,0,0,none,none,0,0,,,STATUE(AMETHYST),0
;// 5153,#CSO2_ITEM_NAME_qbs09_china1,#CSO2_ITEM_DESC_qbs09_china1,qbs09,china1,item,weapon,shotgun,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5154,#CSO2_ITEM_NAME_AWP_1111,#CSO2_ITEM_DESC_AWP_1111,awp,1111,item,weapon,snip,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5155,#CSO2_ITEM_NAME_m4a1_1111,#CSO2_ITEM_DESC_m4a1_1111,m4a1,1111,item,weapon,rifle,0,3,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5156,#CSO2_ITEM_NAME_ak47_1111,#CSO2_ITEM_DESC_ak47_1111,ak47,1111,item,weapon,rifle,0,2,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5157,#CSO2_ITEM_NAME_m3boom_amethyst1,#CSO2_ITEM_DESC_m3boom_amethyst1,m3boom,amethyst1,item,weapon,shotgun,0,0,50,0,0,0,5,0,0,0,none,none,0,0,,,STATUE(AMETHYST),0
5158,#CSO2_ITEM_NAME_ak12_xmas1,#CSO2_ITEM_DESC_ak12_xmas1,ak12,xmas,item,weapon,rifle,0,2,0,0,0,3,5,0,0,0,none,none,0,0,,,STATUE(ICE),0
5159,#CSO2_ITEM_NAME_acr_xmas1,#CSO2_ITEM_DESC_acr_xmas1,acr,xmas,item,weapon,rifle,0,3,0,0,0,3,5,0,0,0,none,none,0,0,,,STATUE(ICE),0
5160,#CSO2_ITEM_NAME_huntknife_monkey1,#CSO2_ITEM_DESC_huntknife_monkey1,huntknife,monkey1,item,weapon,knife,2,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
5161,#CSO2_ITEM_NAME_elites_silver1,#CSO2_ITEM_DESC_elites_silver1,elites,silver1,item,weapon,pistol,1,2,0,0,0,0,5,0,0,0,none,none,0,0,,,"CRITICAL(5,1.3) | WEAPONDROPOFF",0
5162,#CSO2_ITEM_NAME_fiveseven_silver1,#CSO2_ITEM_DESC_fiveseven_silver1,fiveseven,silver1,item,weapon,pistol,1,3,0,0,0,0,5,0,0,0,none,none,0,0,,,"CRITICAL(5,1.3) | WEAPONDROPOFF",0
5163,#CSO2_ITEM_NAME_m60_silver1,#CSO2_ITEM_DESC_m60_silver1,m60,silver1,item,weapon,mach,0,0,1|2|3|5|6|8|14|15|17|20|22|24|25|26|27|29|36|37|38|42|44|45|46|48|49|51|53|55|57|58|59|61|63|65,0,0,0,5,0,0,0,none,none,0,0,,,"CRITICAL(5,1.3) | WEAPONDROPOFF",0
5164,#CSO2_ITEM_NAME_xm1014_silver1,#CSO2_ITEM_DESC_xm1014_silver1,xm1014,silver1,item,weapon,shotgun,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,"CRITICAL(5,1.3) | WEAPONDROPOFF",0
5165,#CSO2_ITEM_NAME_p90_silver1,#CSO2_ITEM_DESC_p90_silver1,p90,silver1,item,weapon,smg,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,"CRITICAL(5,1.3) | WEAPONDROPOFF",0
5166,#CSO2_ITEM_NAME_scarh_silver1,#CSO2_ITEM_DESC_scarh_silver1,scarh,silver1,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,"CRITICAL(5,1.3) | WEAPONDROPOFF",0
5167,#CSO2_ITEM_NAME_heartgrenade,#CSO2_ITEM_DESC_heartgrenade,hegrenade,heart,item,weapon,equip,3,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
5168,#CSO2_ITEM_NAME_heartgrenade2,#CSO2_ITEM_DESC_heartgrenade2,hegrenade,heart2,item,weapon,equip,3,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
;// 5169,#CSO2_ITEM_NAME_aug_opal1,#CSO2_ITEM_DESC_AUG_opal1,aug,opal1,item,weapon,rifle,0,3,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
